"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"d:\proyectos\proyectos\plate-perfect-order\src\App.css", "CSS", 0, 0, 0, 37, 0, 6, 43
"d:\proyectos\proyectos\plate-perfect-order\src\App.tsx", "TypeScript JSX", 0, 111, 0, 0, 4, 8, 123
"d:\proyectos\proyectos\plate-perfect-order\src\components\DiagnosticoTablas.tsx", "TypeScript JSX", 0, 259, 0, 0, 15, 31, 305
"d:\proyectos\proyectos\plate-perfect-order\src\components\cashier\BillDetails.tsx", "TypeScript JSX", 0, 117, 0, 0, 3, 14, 134
"d:\proyectos\proyectos\plate-perfect-order\src\components\cashier\ProcessPayment.tsx", "TypeScript JSX", 0, 178, 0, 0, 11, 25, 214
"d:\proyectos\proyectos\plate-perfect-order\src\components\dashboard\StatCard.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 4, 55
"d:\proyectos\proyectos\plate-perfect-order\src\components\database\AddCurrencyColumn.tsx", "TypeScript JSX", 0, 87, 0, 0, 1, 13, 101
"d:\proyectos\proyectos\plate-perfect-order\src\components\database\DatabaseErrorHandler.tsx", "TypeScript JSX", 0, 41, 0, 0, 5, 8, 54
"d:\proyectos\proyectos\plate-perfect-order\src\components\database\DatabaseInitializer.tsx", "TypeScript JSX", 0, 149, 0, 0, 5, 19, 173
"d:\proyectos\proyectos\plate-perfect-order\src\components\debug\SettingsDebug.tsx", "TypeScript JSX", 0, 606, 0, 0, 29, 65, 700
"d:\proyectos\proyectos\plate-perfect-order\src\components\kitchen\OrderList.tsx", "TypeScript JSX", 0, 230, 0, 0, 10, 21, 261
"d:\proyectos\proyectos\plate-perfect-order\src\components\layout\Header.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 8, 66
"d:\proyectos\proyectos\plate-perfect-order\src\components\layout\Layout.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 3, 44
"d:\proyectos\proyectos\plate-perfect-order\src\components\layout\MainLayout.tsx", "TypeScript JSX", 0, 59, 0, 0, 6, 11, 76
"d:\proyectos\proyectos\plate-perfect-order\src\components\layout\MainNav.tsx", "TypeScript JSX", 0, 24, 0, 0, 1, 1, 26
"d:\proyectos\proyectos\plate-perfect-order\src\components\layout\ProtectedRoute.tsx", "TypeScript JSX", 0, 60, 0, 0, 7, 13, 80
"d:\proyectos\proyectos\plate-perfect-order\src\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 210, 0, 0, 8, 18, 236
"d:\proyectos\proyectos\plate-perfect-order\src\components\menu\MenuCard.tsx", "TypeScript JSX", 0, 135, 0, 0, 6, 14, 155
"d:\proyectos\proyectos\plate-perfect-order\src\components\menu\NewMenuCategory.tsx", "TypeScript JSX", 0, 95, 0, 0, 2, 8, 105
"d:\proyectos\proyectos\plate-perfect-order\src\components\menu\ShareMenuButton.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 12, 120
"d:\proyectos\proyectos\plate-perfect-order\src\components\orders\CreateOrderForm.tsx", "TypeScript JSX", 0, 426, 0, 0, 29, 43, 498
"d:\proyectos\proyectos\plate-perfect-order\src\components\tables\TableDetails.tsx", "TypeScript JSX", 0, 283, 0, 0, 11, 33, 327
